Year,Continent,Freq,Percentage
2006,Australia,1,0
2006,North America,1,0.393700787
2006,Africa,1,2.362204724
2006,Northern Europe,1,2.362204724
2006,Asia,1,10.23622047
2006,South America,1,12.20472441
2006,Middle East,1,16.14173228
2006,Western Europe,1,24.80314961
2006,Eastern Europe,1,31.49606299
2007,Australia,1,0
2007,North America,1,0.793650794
2007,Africa,1,2.777777778
2007,Northern Europe,1,2.777777778
2007,Asia,1,9.523809524
2007,South America,1,9.523809524
2007,Middle East,1,11.50793651
2007,Western Europe,1,24.6031746
2007,Eastern Europe,1,38.49206349
2008,Australia,1,0
2008,North America,1,0
2008,Africa,1,1.704545455
2008,Northern Europe,1,3.409090909
2008,Asia,1,9.659090909
2008,South America,1,8.522727273
2008,Middle East,1,18.18181818
2008,Western Europe,1,29.54545455
2008,Eastern Europe,1,28.97727273
2009,Australia,1,0
2009,North America,1,0
2009,Africa,1,1.807228916
2009,Northern Europe,1,1.204819277
2009,Asia,1,12.04819277
2009,South America,1,10.24096386
2009,Middle East,1,19.87951807
2009,Western Europe,1,24.69879518
2009,Eastern Europe,1,30.12048193
2010,Australia,1,0
2010,North America,1,0.869565217
2010,Africa,1,1.739130435
2010,Northern Europe,1,3.043478261
2010,Asia,1,9.130434783
2010,South America,1,6.52173913
2010,Middle East,1,13.91304348
2010,Western Europe,1,33.47826087
2010,Eastern Europe,1,31.30434783
2011,Australia,1,0
2011,North America,1,1.968503937
2011,Africa,1,0.393700787
2011,Northern Europe,1,4.330708661
2011,Asia,1,12.20472441
2011,South America,1,7.086614173
2011,Middle East,1,14.17322835
2011,Western Europe,1,33.07086614
2011,Eastern Europe,1,26.77165354
2012,Australia,1,0
2012,North America,1,1.57480315
2012,Africa,1,0
2012,Northern Europe,1,3.149606299
2012,Asia,1,10.62992126
2012,South America,1,7.480314961
2012,Middle East,1,12.99212598
2012,Western Europe,1,30.70866142
2012,Eastern Europe,1,33.46456693
2013,Australia,1,0.787401575
2013,North America,1,1.181102362
2013,Africa,1,0
2013,Northern Europe,1,2.362204724
2013,Asia,1,11.41732283
2013,South America,1,6.299212598
2013,Middle East,1,11.02362205
2013,Western Europe,1,31.49606299
2013,Eastern Europe,1,35.43307087
2014,Australia,1,0
2014,North America,1,1.968503937
2014,Africa,1,0.393700787
2014,Northern Europe,1,4.330708661
2014,Asia,1,12.20472441
2014,South America,1,7.874015748
2014,Middle East,1,11.81102362
2014,Western Europe,1,32.28346457
2014,Eastern Europe,1,29.13385827
2015,Australia,1,0
2015,North America,1,0.396825397
2015,Africa,1,1.587301587
2015,Northern Europe,1,5.158730159
2015,Asia,1,8.333333333
2015,South America,1,7.936507937
2015,Middle East,1,16.26984127
2015,Western Europe,1,28.17460317
2015,Eastern Europe,1,32.14285714
2016,Australia,1,0.396825397
2016,North America,1,1.19047619
2016,Africa,1,0.793650794
2016,Northern Europe,1,5.158730159
2016,Asia,1,11.9047619
2016,South America,1,6.746031746
2016,Middle East,1,10.71428571
2016,Western Europe,1,29.76190476
2016,Eastern Europe,1,33.33333333
